"","metabolite_name","T_L4_D5_03","T_L4_F7_03","T_L4_M8_03","T_L4_D5_06","T_L4_F7_06","T_L4_M8_06","T_L4_D5_09","T_L4_F7_09","T_L4_M8_09","T_L4_D5_12","T_L4_F7_12","T_L4_M8_12","T_L4_D5_18","T_L4_F7_18","T_L4_M8_18","T_L4_D5_21","T_L4_F7_21","T_L4_M8_21","T_L4_D5_24","T_L4_F7_24","T_L4_M8_24","T_L4_D5_27","T_L4_F7_27","T_L4_M8_27","T_L4_D5_30","T_L4_F7_30","T_L4_M8_30","T_L4_D5_33","T_L4_F7_33","T_L4_M8_33","U_L1_D5_03","U_L1_F7_03","U_L1_M8_03","U_L2_D5_03","U_L2_F7_03","U_L2_M8_03","U_L3_D5_03","U_L3_F7_03","U_L3_M8_03","U_L3_D5_06","U_L3_F7_06","U_L3_M8_06","U_L5_D5_03","U_L5_F7_03","U_L5_M8_03"
"HMDB0001397","5-GMP",11.056,11.605,11.358,9.909,10.549,10.633,9.264,10.01,10.187,11.157,11.058,11.368,11.08,11.671,11.897,10.952,11.561,11.693,11.171,11.921,11.883,11.21,12.143,11.949,11.21,12.143,11.949,11.028,11.604,11.726,14.849,16.111,15.793,15.393,15.169,15.765,22.739,23.713,23.497,22.82,23.602,23.718,0,0,0
"HMDB0000201","Acetylcarnitine",6.096,5.827,6.5,5.999,5.775,6.443,6.058,5.811,6.505,6.066,5.686,6.403,6.077,5.807,6.564,6.057,5.806,6.476,6.086,5.829,6.465,6.073,5.712,6.433,6.073,5.712,6.433,6.058,5.787,6.508,19.593,19.652,20.026,20.534,20.596,20.989,25.3,25.029,25.748,25.404,25.126,25.852,24.936,24.883,25.407
"HMDB0000532","Acetylglycine",2.493,2.731,2.797,2.189,2.42,2.632,2.272,2.744,2.612,2.521,2.606,2.738,2.498,2.744,2.901,2.436,2.856,2.967,2.536,2.816,2.807,2.348,3.142,3.233,2.348,3.142,3.233,2.433,2.762,2.797,0,0,0,13.741,14.148,13.934,17.847,0,18.088,17.878,18.335,18.749,21.32,21.285,21.436
"HMDB0000045","Adenosine monophosphate",10.371,10.331,10.503,10.409,10.315,10.481,9.993,9.848,10.132,10.415,10.05,10.343,10.359,10.193,10.467,10.347,10.14,10.445,10.346,10.211,10.383,10.363,10.277,10.517,10.363,10.277,10.517,10.362,10.26,10.498,14.807,14.464,15.527,21.579,21.498,22.343,26.433,26.081,26.72,26.356,25.961,26.683,0,0,0
"HMDB0000161","Alanine",10.777,11.171,10.382,10.718,11.046,10.527,10.788,11.106,10.291,10.731,10.979,10.814,10.736,11.191,10.99,10.775,11.221,10.772,10.734,11.195,10.907,10.739,11.109,10.814,10.739,11.109,10.814,10.732,11.107,10.829,15.978,16.701,16.584,0,0,0,26.479,26.934,26.28,26.588,27.103,26.397,20.636,20.775,19.81
"HMDB0000208","alpha-Ketoglutaric acid",2.548,2.531,3.257,2.392,2.356,2.778,2.327,2.205,3.221,2.635,2.441,3.385,2.563,2.516,2.952,2.587,2.488,3.249,2.546,2.595,3.687,2.519,2.151,4.738,2.519,2.151,4.738,2.561,2.487,3.117,0,0,0,0,0,0,0,0,0,0,0,0,24.511,24.11,24.755
"HMDB0001043","Arachidonate (20:4n6)",1.275,2.208,1.043,1.183,2.043,0.864,1.683,2.416,1.408,1.345,1.945,1.104,1.144,2.021,1.118,1.281,2.053,0.963,1.257,1.7,1,1.157,1.922,0.956,1.157,1.922,0.956,1.223,1.666,1.08,0,0,0,16.223,17.522,16.139,16.892,17.653,0,18.204,18.763,18.285,0,0,0
"HMDB0000517","Arginine",9.639,9.247,8.761,9.324,9.471,8.904,9.76,9.309,9.181,9.449,8.892,8.85,9.544,9.162,9.084,9.503,8.829,8.914,9.697,8.709,8.435,9.434,9.245,9.124,9.434,9.245,9.124,9.566,9.015,9.062,14.095,13.561,13.953,14.623,14.666,14.632,27.567,27.078,27.062,27.513,27.085,27.028,23.292,22.599,22.465
"HMDB0000168","Asparagine",9.593,9.79,9.83,10.074,9.878,9.952,8.673,8.915,9.128,9.609,9.569,9.709,9.547,9.468,9.864,9.645,9.794,10.037,9.691,9.833,10.466,9.628,9.814,9.572,9.628,9.814,9.572,9.51,9.461,9.573,13.553,14.411,15.105,15.424,15.111,15.888,25.825,25.932,26.013,26.001,26.059,26.226,19.754,19.523,19.786
"HMDB0000191","Aspartate",8.704,7.808,7.741,8.568,7.753,7.581,8.496,7.761,7.631,8.651,7.741,7.574,8.73,7.809,7.737,8.618,7.896,7.683,8.79,7.979,7.732,8.645,7.76,7.664,8.645,7.76,7.664,8.676,7.75,7.719,0,0,0,13.108,12.252,13.2,23.963,23.227,23.094,23.981,23.104,23.051,19.892,18.864,19.225
"HMDB0000056","beta-Alanine",6.398,7.212,8.533,6.22,7.095,8.4,6.531,7.175,8.594,6.618,7.028,8.413,6.513,7.123,8.57,6.611,7.257,8.424,6.469,7.396,8.64,6.521,7.091,8.431,6.521,7.091,8.431,6.547,7.212,8.678,0,0,0,13.349,13.842,14.046,22.555,23.18,24.335,22.475,23.209,24.309,0,0,0
"HMDB0000062","Carnitine",2.913,3.197,3.833,3.567,3.868,3.771,3.49,3.877,3.812,3.603,3.819,3.728,3.547,3.835,3.873,3.566,3.917,3.798,3.597,3.95,3.819,3.598,3.902,3.793,3.598,3.902,3.793,3.616,3.905,3.809,17.783,18.36,17.936,20.626,21.007,20.975,24.933,25.372,25.223,24.942,25.265,25.203,20.43,20.803,20.656
"HMDB0000033","Carnosine",1.157,0.714,1.104,1.036,0.176,0.595,1.027,1.863,1.267,0.299,1.333,1.475,1.17,1.281,1.536,0.669,1.406,1.208,1.138,0.66,0.824,0.678,1.696,1.47,0.678,1.696,1.47,1.373,1.452,1.287,8.982,8.863,9.125,12.519,12.637,12.587,16.801,17.297,17.601,16.739,17.39,17.356,13.446,13.225,12.7
"HMDB0003229","cis-9-Palmitoleic acid",2.676,3.506,2.281,2.876,3.271,2.77,3.02,3.586,2.828,2.644,2.96,2.685,2.287,3.61,2.433,2.546,3.271,2.703,2.575,3.034,2.401,2.465,3.124,2.359,2.465,3.124,2.359,2.675,3.004,2.54,10.33,11.522,11.648,18.387,19.69,19.014,0,0,0,0,0,0,0,0,0
"HMDB0000094","Citrate",7.983,8.665,8.797,7.942,8.626,8.725,7.694,8.563,8.708,7.933,8.471,8.587,8.002,8.659,8.844,7.919,8.585,8.655,8.068,8.713,8.84,7.906,8.47,8.687,7.906,8.47,8.687,7.923,8.606,8.687,0,0,0,0,0,0,22.454,23.126,23.315,22.567,23.195,23.343,23.588,23.174,23.688
"HMDB0000904","Citrulline",2.266,3.557,3.807,3.399,3.705,4.057,3.028,3.917,4.274,2.339,3.176,3.725,2.22,3.332,3.605,2.322,3.269,3.496,2.293,3.399,3.609,2.121,3.833,4.109,2.121,3.833,4.109,2.214,3.537,3.885,10.906,11.088,11.466,15.015,15.609,15.287,19.691,20.433,20.665,20.521,20.329,20.655,17.885,17.562,17.425
"HMDB0000064","Creatine",6.479,7.316,7.777,7.098,7.81,7.741,6.93,7.604,7.597,7.049,7.48,7.479,6.903,7.516,7.559,6.874,7.645,7.445,6.902,7.698,7.524,6.959,7.958,7.519,6.959,7.958,7.519,6.93,7.646,7.469,19.494,20.147,20.058,0,0,0,26.769,27.24,27.241,26.707,27.227,27.174,22.41,23.084,22.931
